gene_ncbi,citation_count,pub_count_previous,year
5973,18.0,1,1985
6271,89.0,0,1985
6441,406.0,0,1985
6476,77.0,3,1985
6647,187.0,0,1985
6714,57.0,1,1985
6737,91.0,1,1985
6741,146.0,0,1985
6750,49.0,1,1985
7018,131.0,5,1985
7037,78.0,4,1985
7038,34.0,1,1985
7056,298.0,0,1985
7070,62.0,9,1985
7076,470.0,0,1985
7124,722.0,1,1985
7157,139.0,2,1985
7167,111.5,4,1985
7298,83.5,0,1985
7369,193.0,1,1985
7432,94.5,1,1985
7448,215.0,3,1985
7450,157.0,0,1985
7471,85.0,0,1985
7525,87.0,0,1985
9615,19.0,0,1985
9622,92.0,0,1985
10216,180.0,0,1985
10327,75.5,1,1985
10376,58.0,1,1985
10908,35.0,0,1985
22882,194.0,0,1985
22915,420.0,0,1985
23193,30.0,1,1985
23436,23.0,0,1985
23545,4.0,3,1985
25796,7.0,0,1985
28882,5.0,0,1985
55997,212.0,0,1985
57730,23.0,0,1985
57733,19.0,0,1985
79811,301.0,1,1985
83716,30.5,0,1985
116844,278.0,0,1985
170589,45.5,22,1985
654231,51.0,0,1985
728378,431.0,1,1985
1,97.0,0,1986
2,83.0,11,1986
25,228.0,4,1986
34,72.0,1,1986
87,114.0,0,1986
100,80.5,16,1986
174,198.0,10,1986
197,81.0,4,1986
210,69.0,4,1986
213,34.0,14,1986
217,70.0,1,1986
251,15.0,1,1986
259,112.5,2,1986
268,849.0,0,1986
276,75.0,0,1986
279,93.0,2,1986
283,327.0,1,1986
290,47.0,1,1986
325,54.0,1,1986
335,65.0,18,1986
336,22.5,11,1986
337,84.5,0,1986
338,67.0,8,1986
344,65.0,7,1986
345,9.0,4,1986
347,183.0,1,1986
348,105.0,18,1986
353,20.0,2,1986
354,545.0,0,1986
383,60.0,0,1986
412,12.0,2,1986
435,90.0,2,1986
462,129.0,13,1986
596,1197.0,0,1986
613,699.0,2,1986
632,225.5,0,1986
669,45.0,0,1986
715,112.0,4,1986
717,154.0,5,1986
718,40.0,4,1986
721,120.0,2,1986
728,58.5,1,1986
730,57.0,0,1986
731,41.0,1,1986
759,23.0,1,1986
761,15.0,4,1986
796,128.0,8,1986
823,142.0,0,1986
847,184.0,3,1986
875,80.0,2,1986
885,64.0,1,1986
911,190.0,0,1986
914,158.0,2,1986
920,611.0,2,1986
921,221.0,1,1986
925,15.0,3,1986
963,94.0,1,1986
1084,2.0,1,1986
1113,25.0,0,1986
1158,77.0,0,1986
1278,44.0,3,1986
1280,27.0,4,1986
1351,2.0,0,1986
1356,98.0,5,1986
1357,23.0,0,1986
1378,159.0,6,1986
1436,29.5,2,1986
1437,253.0,3,1986
1440,773.5,0,1986
1471,316.0,3,1986
1508,58.0,4,1986
1514,45.0,0,1986
1528,108.0,3,1986
1543,114.0,1,1986
1544,83.5,0,1986
1583,202.0,0,1986
1586,146.0,0,1986
1589,491.0,1,1986
1604,23.0,0,1986
1622,152.0,0,1986
1636,22.0,8,1986
1674,57.0,1,1986
1769,540.0,0,1986
1791,23.0,2,1986
1811,118.0,1,1986
1915,16.0,0,1986
1950,50.0,5,1986
1984,29.0,0,1986
1991,367.5,4,1986
2023,157.0,0,1986
2035,88.0,1,1986
2056,154.0,3,1986
2067,333.0,0,1986
2098,42.5,3,1986
2099,1071.0,0,1986
2114,26.0,0,1986
2147,120.0,13,1986
2152,93.0,1,1986
2161,29.0,4,1986
2162,157.5,1,1986
2244,72.5,22,1986
2246,345.0,1,1986
2248,259.0,0,1986
2268,96.0,1,1986
2335,44.5,16,1986
2353,23.0,3,1986
2495,98.0,3,1986
2520,38.0,6,1986
2539,166.5,9,1986
2629,95.0,3,1986
2638,28.5,3,1986
2639,56.0,0,1986
2641,315.5,1,1986
2643,13.0,0,1986
2691,88.0,5,1986
2717,187.0,4,1986
2796,210.5,5,1986
2821,197.0,2,1986
2922,118.5,1,1986
2993,61.5,0,1986
2995,42.0,2,1986
3009,53.0,0,1986
3035,11.0,0,1986
3043,45.0,15,1986
3047,36.0,10,1986
3106,61.5,5,1986
3122,87.0,6,1986
3150,39.0,0,1986
3151,65.0,0,1986
3240,29.0,11,1986
3251,154.5,10,1986
3308,48.0,2,1986
3458,92.0,5,1986
3479,162.0,3,1986
3552,283.0,0,1986
3558,18.0,12,1986
3567,207.0,0,1986
3569,1271.0,0,1986
3630,24.0,23,1986
3643,878.0,4,1986
3683,93.5,2,1986
3700,11.0,0,1986
3818,234.0,0,1986
3875,94.0,0,1986
3931,151.0,4,1986
3932,115.0,0,1986
3949,152.0,6,1986
4015,17.0,1,1986
4051,143.0,4,1986
4099,35.0,1,1986
4151,40.0,5,1986
4155,46.0,4,1986
4168,48.0,0,1986
4241,214.0,1,1986
4267,27.0,1,1986
4312,661.0,0,1986
4351,19.0,2,1986
4490,87.0,0,1986
4494,74.0,0,1986
4602,143.0,2,1986
4609,102.5,17,1986
4613,159.0,4,1986
4804,405.0,1,1986
4852,120.0,0,1986
4893,6.0,8,1986
4914,42.0,0,1986
4942,67.5,2,1986
5008,379.0,0,1986
5009,36.0,5,1986
5047,8.0,1,1986
5053,160.0,3,1986
5069,10.0,4,1986
5155,72.5,8,1986
5241,208.0,0,1986
5243,1886.0,0,1986
5265,77.5,12,1986
5319,342.5,2,1986
5327,48.5,5,1986
5340,75.0,11,1986
5345,61.0,5,1986
5354,59.0,2,1986
5409,17.0,0,1986
5422,43.0,6,1986
5473,123.0,5,1986
5551,311.5,0,1986
5619,103.0,1,1986
5624,189.0,3,1986
5660,34.0,1,1986
5741,16.0,7,1986
5788,80.0,0,1986
5805,68.0,0,1986
5860,6.0,4,1986
5949,22.0,0,1986
5967,56.0,0,1986
5972,32.5,13,1986
6010,30.5,1,1986
6117,104.0,0,1986
6208,145.0,1,1986
6462,57.0,0,1986
6522,148.0,0,1986
6590,184.0,0,1986
6714,144.0,5,1986
6853,103.0,0,1986
6863,100.0,3,1986
6906,184.0,2,1986
6948,26.5,2,1986
7018,32.0,6,1986
7037,69.0,5,1986
7038,71.0,4,1986
7054,66.0,0,1986
7057,74.0,2,1986
7068,45.0,0,1986
7070,4.0,12,1986
7076,231.0,2,1986
7123,181.0,0,1986
7124,140.0,6,1986
7134,22.0,0,1986
7157,414.5,5,1986
7167,74.0,6,1986
7170,47.0,0,1986
7276,114.0,1,1986
7389,75.5,1,1986
7431,148.5,0,1986
7432,26.0,5,1986
7448,56.5,5,1986
7450,217.5,3,1986
8991,118.0,0,1986
9479,39.0,0,1986
10072,29.0,3,1986
10327,34.0,3,1986
10376,21.0,2,1986
10400,7.0,0,1986
10404,24.0,2,1986
10908,27.0,1,1986
22882,98.0,1,1986
23336,238.0,0,1986
27165,12.0,0,1986
28884,5.0,1,1986
28906,10.0,1,1986
51727,75.0,3,1986
79784,78.0,0,1986
134285,31.0,0,1986
148003,99.0,0,1986
170589,15.0,24,1986
203068,13.0,0,1986
373156,109.0,2,1986
729238,175.0,0,1986
1,17.0,1,1987
2,192.0,12,1987
25,244.0,7,1987
30,175.0,0,1987
34,140.0,2,1987
55,16.0,2,1987
100,43.0,18,1987
142,99.5,0,1987
153,602.0,0,1987
154,235.0,0,1987
158,22.0,0,1987
174,89.0,12,1987
183,30.5,6,1987
197,66.0,5,1987
210,43.0,6,1987
211,6.0,0,1987
213,48.5,20,1987
226,25.0,0,1987
248,62.0,0,1987
250,50.0,2,1987
268,157.0,1,1987
276,12.0,1,1987
283,99.0,2,1987
308,139.0,0,1987
337,118.0,4,1987
338,98.0,24,1987
344,52.0,9,1987
345,38.5,5,1987
347,7.0,2,1987
348,104.5,21,1987
351,708.0,3,1987
353,78.0,3,1987
354,238.0,1,1987
369,146.0,0,1987
412,35.0,3,1987
462,30.5,14,1987
567,289.0,3,1987
590,102.0,0,1987
613,106.0,3,1987
669,9.0,1,1987
695,17.0,0,1987
715,40.5,6,1987
721,45.0,5,1987
727,17.0,3,1987
731,72.0,2,1987
759,23.0,3,1987
760,35.0,9,1987
761,32.0,6,1987
765,137.0,0,1987
801,59.0,1,1987
914,165.0,3,1987
917,58.0,0,1987
920,339.0,3,1987
921,174.0,2,1987
924,137.0,0,1987
939,235.0,0,1987
983,962.0,0,1987
1059,395.0,0,1987
1071,183.0,0,1987
1084,162.0,2,1987
1104,190.0,0,1987
1113,51.0,2,1987
1114,86.0,0,1987
1152,32.5,0,1987
1158,62.0,1,1987
1278,78.0,4,1987
1280,52.0,5,1987
1284,32.0,0,1987
1356,22.0,7,1987
1378,89.5,7,1987
1380,171.0,0,1987
1392,30.0,1,1987
1401,19.0,11,1987
1409,49.0,0,1987
1435,369.0,1,1987
1440,31.0,2,1987
1471,164.0,4,1987
1509,2.0,3,1987
1511,232.0,3,1987
1537,14.0,0,1987
